"grid","year","effort","catch.kg","depth","swept.area.km2","grid.area.km2"
"184",2000,1,0,507.296,2.2224,272.642969007431
"245",2000,1,0,547.945,7.3617,273.824376867264
"245",2000,1,0,664.712,2.5002,273.824376867264
"245",2000,1,0,599.911,3.0558,273.824376867264
"307",2000,1,0,400.503,5.0004,550.000548195953
"308",2000,1,0,476.393,1.59272,550.000548195953
"308",2000,1,0,332.753,3.3336,550.000548195953
"308",2000,1,0,437.097,6.5283,550.000548195953
"308",2000,1,0,458.469,4.247253334,550.000548195953
"308",2000,1,0,558.804,4.0281,550.000548195953
"308",2000,1,0,476.393,3.619425334,550.000548195953
"308",2000,1,0,558.804,4.0281,550.000548195953
"308",2000,1,0,1287.28,9.723,550.000548195953
"309",2000,1,0,565.049,5.802933334,550.000548195953
"309",2000,1,2,458.469,4.884341334,550.000548195953
"309",2000,1,3,710.764,5.467104,550.000548195953
"309",2000,1,0,614,4.77816,550.000548195953
"309",2000,1,0,477.061,7.16724,550.000548195953
"369",2000,1,0,510.7,2.6391,552.341922687103
"370",2000,1,0,510.7,2.3613,552.341922687103
"370",2000,1,2,458.469,9.030352,552.341922687103
"370",2000,1,0,263.652,3.849073334,552.341922687103
"370",2000,1,0,477.061,7.6395,552.341922687103
"370",2000,1,0,236.435,5.383146666,552.341922687103
"370",2000,1,0,710.764,11.414493334,552.341922687103
"370",2000,1,0,169.667,12.038,552.341922687103
"370",2000,1,2,332.753,6.5283,552.341922687103
"370",2000,1,0,565.049,5.4171,552.341922687103
"370",2000,1,0,597.515,8.334,552.341922687103
"371",2000,1,0,412.646,6.97278,552.341922687103
"371",2000,1,0,512.13,4.79668,552.341922687103
"371",2000,1,0,473.971,4.22256,552.341922687103
"371",2000,1,0,329.327,11.266333334,552.341922687103
"371",2000,1,0,501.855,8.334,552.341922687103
"371",2000,1,0,394.991,8.8896,552.341922687103
"371",2000,1,0,477.061,9.1674,552.341922687103
"371",2000,1,0,511.476,12.75102,552.341922687103
"371",2000,1,0,361.3,10.8342,552.341922687103
"372",2000,1,0,378.196,7.74136,552.341922687103
"372",2000,1,0,366.644,5.0004,552.341922687103
"373",2000,1,5,831.543,5.08374,552.341922687103
"433",2000,1,0,226.534,4.512706666,554.67251167598
"434",2000,1,0,475.329,8.4729,554.67251167598
"434",2000,1,0,439.886,9.1674,554.67251167598
"436",2000,1,0,620.08,5.0004,554.67251167598
"436",2000,1,0,652.742,2.29648,554.67251167598
"437",2000,1,0,652.742,4.94484,554.67251167598
"438",2000,1,0,603.491,7.72284,554.67251167598
"439",2000,1,0,615.692,3.7503,554.67251167598
"439",2000,1,0,585.474,6.75054,554.67251167598
"440",2000,1,0,569.766,7.5006,554.67251167598
"440",2000,1,0,589.771,7.0839,554.67251167598
"440",2000,1,0,554.985,8.208064,554.67251167598
"440",2000,1,0,663.436,7.3617,554.67251167598
"440",2000,1,0,569.766,7.062293334,554.67251167598
"441",2000,1,0,631.094,7.55616,554.67251167598
"441",2000,1,0,659.244,7.44504,554.67251167598
"443",2000,1,0,508,4.94484,554.67251167598
"443",2000,1,0,531.548,7.33392,554.67251167598
"445",2000,1,0,526.067,0.5432533334,554.67251167598
"446",2000,1,0,600.307,6.91722,554.67251167598
"462",2000,1,0,507.781,7.61172,554.67251167598
"465",2000,1,0,581.672,6.3894,554.67251167598
"467",2000,1,0,558.056,6.69498,554.67251167598
"470",2000,1,0,459.913,6.72276,554.67251167598
"471",2000,1,0,492.428,6.97278,554.67251167598
"472",2000,1,0,353.18,1.3581333334,554.67251167598
"472",2000,1,0,581.517,9.4452,554.67251167598
"496",2000,1,1,415.316,7.3617,556.992274608704
"496",2000,1,0,480.711,6.1116,556.992274608704
"496",2000,1,0,353.786,4.3059,556.992274608704
"496",2000,1,0,370.051,10.8342,556.992274608704
"496",2000,1,0,377.654,9.0285,556.992274608704
"496",2000,1,0,403.344,3.66696,556.992274608704
"496",2000,1,0,312.84,0.5556,556.992274608704
"496",2000,1,0,354.084,4.36146,556.992274608704
"496",2000,1,0,452.527,12.9177,556.992274608704
"496",2000,1,2,264.613,5.2782,556.992274608704
"496",2000,1,0,480.711,6.5283,556.992274608704
"496",2000,1,0,353.786,3.0558,556.992274608704
"496",2000,1,0,507.778,6.482,556.992274608704
"496",2000,1,0,306.107,9.47298,556.992274608704
"496",2000,1,0,306.107,10.0008,556.992274608704
"496",2000,1,0,370.051,5.4171,556.992274608704
"497",2000,1,0,353.786,8.97294,556.992274608704
"497",2000,1,0,503.981,6.6672,556.992274608704
"497",2000,1,0,498.922,4.0281,556.992274608704
"497",2000,1,0,492.747,5.1393,556.992274608704
"497",2000,1,0,504.446,1.5279,556.992274608704
"497",2000,1,0,403.344,8.00064,556.992274608704
"497",2000,1,0,353.786,9.0285,556.992274608704
"497",2000,1,0,593.934,6.945,556.992274608704
"497",2000,1,0,455.499,5.8338,556.992274608704
"497",2000,1,0,353.786,9.50076,556.992274608704
"497",2000,1,0,568.504,8.1951,556.992274608704
"497",2000,1,0,492.029,7.3617,556.992274608704
"497",2000,1,0,445.533,13.38996,556.992274608704
"497",2000,1,0,482.406,8.997016,556.992274608704
"497",2000,1,0,306.107,10.25082,556.992274608704
"497",2000,1,0,400.505,7.034513334,556.992274608704
"497",2000,1,0,501.499,7.52838,556.992274608704
"497",2000,1,0,465.875,9.66744,556.992274608704
"497",2000,1,0,498.922,8.334,556.992274608704
"497",2000,1,0,498.922,7.86174,556.992274608704
"497",2000,1,0,452.782,4.5837,556.992274608704
"497",2000,1,0,445.533,6.36162,556.992274608704
"497",2000,1,0,377.654,11.112,556.992274608704
"497",2000,1,1,485.943,3.77808,556.992274608704
"497",2000,1,0,354.084,4.4448,556.992274608704
"498",2000,1,16,506.618,7.9173,556.992274608704
"498",2000,1,0,480.711,8.334,556.992274608704
"498",2000,1,0,530.242,6.8061,556.992274608704
"498",2000,1,1,548.394,6.75054,556.992274608704
"498",2000,1,5,533.185,7.0839,556.992274608704
"498",2000,1,0,555.435,10.1397,556.992274608704
"498",2000,1,0,554.778,5.77824,556.992274608704
"498",2000,1,0,510.7,3.8892,556.992274608704
"498",2000,1,0,586.599,8.16732,556.992274608704
"499",2000,1,0,497.074,6.72276,556.992274608704
"499",2000,1,3,505.98,6.6672,556.992274608704
"499",2000,1,0,588.793,7.9173,556.992274608704
"499",2000,1,0,506.618,7.5006,556.992274608704
"500",2000,1,0,560.375,5.0004,556.992274608704
"500",2000,1,0,489.163,7.6395,556.992274608704
"500",2000,1,0,482.338,5.0004,556.992274608704
